,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration,Work duration,Prov_ab,Employment Rate,Pct house over 30,region,Income
2332,21649,1,4,6,2,2,4,1080,0,BC,59.6,20.7,British Columbia,69995.0
2333,21651,2,6,3,2,0,4,390,250,BC,59.6,20.7,British Columbia,69995.0
2334,21654,1,2,1,2,2,1,490,0,BC,59.6,20.7,British Columbia,69995.0
2335,21659,2,5,2,1,0,1,450,0,BC,59.6,20.7,British Columbia,69995.0
2336,21676,1,3,2,2,0,1,565,0,BC,59.6,20.7,British Columbia,69995.0
2337,21682,1,3,1,2,3,1,355,0,BC,59.6,20.7,British Columbia,69995.0
2338,21701,2,5,1,1,0,2,510,0,BC,59.6,20.7,British Columbia,69995.0
2339,21711,1,3,6,1,0,3,540,480,BC,59.6,20.7,British Columbia,69995.0
2340,21717,1,2,1,2,0,1,540,0,BC,59.6,20.7,British Columbia,69995.0
2341,21723,1,6,1,2,0,3,490,0,BC,59.6,20.7,British Columbia,69995.0
2342,21751,1,4,1,1,0,1,450,720,BC,59.6,20.7,British Columbia,69995.0
2343,21755,1,4,1,1,2,3,400,600,BC,59.6,20.7,British Columbia,69995.0
2344,21756,1,3,1,1,0,1,450,0,BC,59.6,20.7,British Columbia,69995.0
2345,21763,1,4,2,1,0,2,795,0,BC,59.6,20.7,British Columbia,69995.0
2346,21771,1,3,1,2,3,1,815,0,BC,59.6,20.7,British Columbia,69995.0
2347,21783,1,7,3,2,0,4,435,0,BC,59.6,20.7,British Columbia,69995.0
2348,21790,1,5,1,2,0,1,420,540,BC,59.6,20.7,British Columbia,69995.0
2349,21799,1,5,1,2,0,5,485,0,BC,59.6,20.7,British Columbia,69995.0
2350,21807,1,1,2,2,0,2,445,530,BC,59.6,20.7,British Columbia,69995.0
2351,21817,1,3,1,2,0,3,480,535,BC,59.6,20.7,British Columbia,69995.0
2352,21845,1,4,1,1,0,2,450,30,BC,59.6,20.7,British Columbia,69995.0
2353,21846,1,5,3,2,0,3,365,510,BC,59.6,20.7,British Columbia,69995.0
2354,21859,2,5,4,1,0,2,580,0,BC,59.6,20.7,British Columbia,69995.0
2355,21870,2,6,3,2,0,6,350,0,BC,59.6,20.7,British Columbia,69995.0
2356,21877,1,5,1,1,0,2,645,0,BC,59.6,20.7,British Columbia,69995.0
2357,21878,1,6,3,2,0,6,420,0,BC,59.6,20.7,British Columbia,69995.0
2358,21883,1,4,3,2,0,2,665,545,BC,59.6,20.7,British Columbia,69995.0
2359,21894,1,1,6,1,0,2,325,0,BC,59.6,20.7,British Columbia,69995.0
2360,21896,1,2,1,2,0,2,740,0,BC,59.6,20.7,British Columbia,69995.0
2361,21922,1,5,5,1,0,2,450,0,BC,59.6,20.7,British Columbia,69995.0
2362,21944,1,2,6,1,0,1,475,525,BC,59.6,20.7,British Columbia,69995.0
2363,21946,1,3,5,2,2,1,1350,0,BC,59.6,20.7,British Columbia,69995.0
2364,21957,1,4,1,1,0,1,600,0,BC,59.6,20.7,British Columbia,69995.0
2365,21959,1,4,1,2,2,1,390,720,BC,59.6,20.7,British Columbia,69995.0
2366,21991,1,4,1,1,0,2,700,105,BC,59.6,20.7,British Columbia,69995.0
2367,22001,1,2,1,1,2,1,420,0,BC,59.6,20.7,British Columbia,69995.0
2368,22012,1,3,1,2,3,2,540,60,BC,59.6,20.7,British Columbia,69995.0
2369,22046,1,4,6,2,0,3,510,560,BC,59.6,20.7,British Columbia,69995.0
2370,22070,1,1,6,2,0,3,540,210,BC,59.6,20.7,British Columbia,69995.0
